segment_id,province_id,province_name,neighbor_province_id,neighbor_province_name,boundary_kind,edge_count,length
35,7,Kokkola,,,coastline,5,32.78548544474867
36,7,Kokkola,19,Kuusamo,same_core_shared_border,4,48.33403316299287
37,7,Kokkola,18,Iisalmi,same_core_shared_border,6,59.55282296072553
38,7,Kokkola,12,Jyväskylä,same_core_shared_border,12,130.70731750969037
39,7,Kokkola,9,Pori,same_core_shared_border,2,37.797171609468776
40,7,Kokkola,8,Vaasa,same_core_shared_border,5,32.705877050232274
41,7,Kokkola,,,coastline,37,222.25325714457517
42,8,Vaasa,9,Pori,same_core_shared_border,5,41.70369350108422
43,8,Vaasa,,,coastline,24,90.11819313905488
44,8,Vaasa,7,Kokkola,same_core_shared_border,4,31.705877050232274
45,9,Pori,8,Vaasa,same_core_shared_border,5,41.70369350108422
46,9,Pori,7,Kokkola,same_core_shared_border,2,37.797171609468776
47,9,Pori,12,Jyväskylä,same_core_shared_border,8,81.95385388764255
48,9,Pori,13,Tampere,same_core_shared_border,6,47.62769589107707
49,9,Pori,,,coastline,1,13.0
50,9,Pori,11,Turku,same_core_shared_border,3,49.621770283027956
51,9,Pori,,,coastline,16,163.99811206873983
52,10,Manchester,232,Liverpool,same_core_shared_border,3,62.005620597905526
53,10,Manchester,235,Leeds,same_core_shared_border,1,20.615528128088304
54,10,Manchester,234,Sheffield,same_core_shared_border,3,47.83013805818069
55,11,Turku,9,Pori,same_core_shared_border,3,49.621770283027956
56,11,Turku,,,coastline,5,53.18104623841415
57,11,Turku,13,Tampere,same_core_shared_border,2,31.147875221173678
58,11,Turku,,,coastline,3,12.598780830477669
59,11,Turku,164,Lahti,same_core_shared_border,5,51.579680447451544
60,11,Turku,14,Helsinki,same_core_shared_border,4,33.683854081434745
61,11,Turku,,,coastline,37,232.5626085184722
62,12,Jyväskylä,9,Pori,same_core_shared_border,8,81.95385388764255
63,12,Jyväskylä,7,Kokkola,same_core_shared_border,12,130.70731750969037
64,12,Jyväskylä,18,Iisalmi,same_core_shared_border,7,55.892311196705464
65,12,Jyväskylä,,,coastline,5,22.239440806249
66,12,Jyväskylä,16,Joensuu,same_core_shared_border,1,22.360679774997898
67,12,Jyväskylä,15,Lappeenranta,same_core_shared_border,1,23.40939982143925
68,12,Jyväskylä,,,coastline,5,47.73899154406774
69,12,Jyväskylä,164,Lahti,same_core_shared_border,4,71.18416233483067
70,12,Jyväskylä,,,coastline,3,13.848191962583273
71,12,Jyväskylä,13,Tampere,same_core_shared_border,4,49.83136664360417
72,13,Tampere,9,Pori,same_core_shared_border,6,47.62769589107707
73,13,Tampere,12,Jyväskylä,same_core_shared_border,4,49.83136664360417
74,13,Tampere,,,coastline,2,17.30159638937274
75,13,Tampere,11,Turku,same_core_shared_border,3,53.9951945387654
76,13,Tampere,,,coastline,1,22.02271554554524
77,14,Helsinki,15,Lappeenranta,same_core_shared_border,4,19.05541513312505
78,14,Helsinki,,,coastline,8,56.87867556740633
79,14,Helsinki,11,Turku,same_core_shared_border,4,33.683854081434745
80,14,Helsinki,164,Lahti,same_core_shared_border,5,34.7090921264147
81,15,Lappeenranta,,,coastline,3,33.669483266617824
82,15,Lappeenranta,12,Jyväskylä,same_core_shared_border,1,23.40939982143925
83,15,Lappeenranta,16,Joensuu,same_core_shared_border,11,136.66137297148813
84,15,Lappeenranta,,,coastline,8,75.54054395517683
85,15,Lappeenranta,2849,Volkhov,different_core_shared_border,4,53.198335078108
86,15,Lappeenranta,,,coastline,5,93.03288557296071
87,15,Lappeenranta,14,Helsinki,same_core_shared_border,4,19.05541513312505
88,15,Lappeenranta,164,Lahti,same_core_shared_border,10,135.1205829323682
89,16,Joensuu,12,Jyväskylä,same_core_shared_border,1,22.360679774997898
90,16,Joensuu,,,coastline,2,15.82411363459805
91,16,Joensuu,18,Iisalmi,same_core_shared_border,8,62.62151592678118
92,16,Joensuu,17,Kem,same_core_shared_border,5,103.85406270340401
93,16,Joensuu,2841,Onega,different_core_shared_border,4,25.586960845293127
94,16,Joensuu,2838,Kargopol,different_core_shared_border,7,55.23067398226305
95,16,Joensuu,,,coastline,10,82.7042974987659
96,16,Joensuu,2849,Volkhov,different_core_shared_border,8,60.304106259371515
97,16,Joensuu,,,coastline,5,57.18841002692245
98,16,Joensuu,15,Lappeenranta,same_core_shared_border,11,136.66137297148813
99,17,Kem,19,Kuusamo,same_core_shared_border,3,43.17542535182594
100,17,Kem,20,Loukhi,same_core_shared_border,3,61.49636024691651
101,17,Kem,,,coastline,11,76.02762427723759
102,17,Kem,2841,Onega,different_core_shared_border,8,72.91755732118224
103,17,Kem,16,Joensuu,same_core_shared_border,5,103.85406270340401
104,17,Kem,18,Iisalmi,same_core_shared_border,4,70.33767653821563
105,18,Iisalmi,12,Jyväskylä,same_core_shared_border,7,55.892311196705464
106,18,Iisalmi,7,Kokkola,same_core_shared_border,6,59.55282296072553
107,18,Iisalmi,19,Kuusamo,same_core_shared_border,7,120.53991774781859
108,18,Iisalmi,17,Kem,same_core_shared_border,4,70.33767653821563
109,18,Iisalmi,16,Joensuu,same_core_shared_border,8,62.62151592678118
110,18,Iisalmi,,,coastline,4,24.12310562561766
111,19,Kuusamo,17,Kem,same_core_shared_border,3,43.17542535182594
112,19,Kuusamo,18,Iisalmi,same_core_shared_border,7,120.53991774781859
113,19,Kuusamo,7,Kokkola,same_core_shared_border,4,48.33403316299287
114,19,Kuusamo,,,coastline,5,34.18810419046476
115,19,Kuusamo,5,Rovaniemi,same_core_shared_border,7,108.61865060520837
116,19,Kuusamo,20,Loukhi,same_core_shared_border,10,118.97249355182893
117,20,Loukhi,17,Kem,same_core_shared_border,3,61.49636024691651
118,20,Loukhi,19,Kuusamo,same_core_shared_border,10,118.97249355182893
119,20,Loukhi,5,Rovaniemi,same_core_shared_border,4,79.88277506758241
120,20,Loukhi,2,Apatity,same_core_shared_border,3,25.612856801919357
121,20,Loukhi,,,coastline,34,247.72100446548905
122,21,Tetrino,2,Apatity,same_core_shared_border,9,201.7866932503594
123,21,Tetrino,,,coastline,23,393.0685030858065
124,22,Kiruna,42,Alta,different_core_shared_border,5,64.96880586010917
125,22,Kiruna,4,Enontekiö,different_core_shared_border,10,191.30697617670734
126,22,Kiruna,5,Rovaniemi,different_core_shared_border,4,14.81913190966076
127,22,Kiruna,,,coastline,6,51.069709187051615
128,22,Kiruna,23,Luleå,same_core_shared_border,4,51.92520305741034
129,22,Kiruna,3294,Jokkmokk,same_core_shared_border,10,102.85704700698162
130,22,Kiruna,24,Arjeborg,same_core_shared_border,6,92.26879515204729
131,22,Kiruna,40,Narvik,different_core_shared_border,6,107.03579722590192
132,23,Luleå,3294,Jokkmokk,same_core_shared_border,5,48.24723220721528
133,23,Luleå,22,Kiruna,same_core_shared_border,4,51.92520305741034
134,23,Luleå,,,coastline,9,49.10589194567145
135,23,Luleå,25,Umeå,same_core_shared_border,4,42.84682861724785
136,24,Arjeborg,40,Narvik,different_core_shared_border,2,41.908481676525554
137,24,Arjeborg,22,Kiruna,same_core_shared_border,6,92.26879515204729
138,24,Arjeborg,3294,Jokkmokk,same_core_shared_border,10,143.8116873298062
139,24,Arjeborg,26,Vilhelmina,same_core_shared_border,5,33.792315037694095
140,24,Arjeborg,3292,Hammerdal,same_core_shared_border,4,53.04655358219799
141,24,Arjeborg,44,Steinkjer,different_core_shared_border,1,18.24828759089466
142,24,Arjeborg,43,Bodø,different_core_shared_border,5,130.86596557539454
143,25,Umeå,3292,Hammerdal,same_core_shared_border,6,41.97926388318997
144,25,Umeå,26,Vilhelmina,same_core_shared_border,4,20.979644379996063
145,25,Umeå,3294,Jokkmokk,same_core_shared_border,9,140.10355831087713
146,25,Umeå,23,Luleå,same_core_shared_border,4,42.84682861724785
147,25,Umeå,,,coastline,27,187.67060333303323
148,25,Umeå,30,Härnösand,same_core_shared_border,6,83.41982606874787
149,26,Vilhelmina,24,Arjeborg,same_core_shared_border,5,33.792315037694095
150,26,Vilhelmina,3294,Jokkmokk,same_core_shared_border,6,28.099795600899355
151,26,Vilhelmina,25,Umeå,same_core_shared_border,4,20.979644379996063
152,26,Vilhelmina,3292,Hammerdal,same_core_shared_border,7,49.56974444750208
153,27,Östersund,32,Lofsdalen,same_core_shared_border,4,33.285559393755996
154,27,Östersund,3292,Hammerdal,same_core_shared_border,3,25.002100041141247
155,27,Östersund,30,Härnösand,same_core_shared_border,5,33.04223595383511
156,27,Östersund,3291,Sveg,same_core_shared_border,5,35.36315586287509
157,28,Stockholm,,,coastline,8,63.79116726097706
158,28,Stockholm,36,Linköping,same_core_shared_border,5,50.93424263649141
159,28,Stockholm,31,Falun,same_core_shared_border,5,74.96790857335952
160,29,Malmö,35,Gothenburg,same_core_shared_border,2,15.678030854162458
161,29,Malmö,37,Växjö,same_core_shared_border,6,47.228866272100774
162,29,Malmö,,,coastline,14,57.96247277968857
163,30,Härnösand,3292,Hammerdal,same_core_shared_border,8,113.05798924816492
164,30,Härnösand,25,Umeå,same_core_shared_border,6,83.41982606874787
165,30,Härnösand,,,coastline,22,183.2103832883157
166,30,Härnösand,31,Falun,same_core_shared_border,5,54.885667809443866
167,30,Härnösand,3291,Sveg,same_core_shared_border,6,82.20512780571033
168,30,Härnösand,27,Östersund,same_core_shared_border,5,33.04223595383511
169,31,Falun,3291,Sveg,same_core_shared_border,4,38.65231043580859
170,31,Falun,30,Härnösand,same_core_shared_border,5,54.885667809443866
171,31,Falun,,,coastline,37,302.8552493079501
172,31,Falun,28,Stockholm,same_core_shared_border,5,74.96790857335952
173,31,Falun,36,Linköping,same_core_shared_border,3,41.13197990119851
174,31,Falun,34,Karlstad,same_core_shared_border,2,67.12151832809307
175,31,Falun,33,Mora,same_core_shared_border,4,92.6974202799147
176,32,Lofsdalen,3292,Hammerdal,same_core_shared_border,5,60.97205104979093
177,32,Lofsdalen,27,Östersund,same_core_shared_border,4,33.285559393755996
178,32,Lofsdalen,3291,Sveg,same_core_shared_border,11,137.0903052506629
179,32,Lofsdalen,33,Mora,same_core_shared_border,2,50.3443795746436
180,32,Lofsdalen,48,Hamar,different_core_shared_border,3,34.933594169140264
181,32,Lofsdalen,45,Trondheim,different_core_shared_border,4,68.76984782445209
182,32,Lofsdalen,44,Steinkjer,different_core_shared_border,7,98.69206524253381
183,33,Mora,48,Hamar,different_core_shared_border,6,93.42949383324256
184,33,Mora,32,Lofsdalen,same_core_shared_border,2,50.3443795746436
185,33,Mora,3291,Sveg,same_core_shared_border,5,71.65889940767461
186,33,Mora,31,Falun,same_core_shared_border,4,92.6974202799147
187,33,Mora,34,Karlstad,same_core_shared_border,8,161.94353627406426
188,34,Karlstad,46,Oslo,different_core_shared_border,5,66.83422840463534
189,34,Karlstad,48,Hamar,different_core_shared_border,4,40.121243231170524
190,34,Karlstad,33,Mora,same_core_shared_border,8,161.94353627406426
191,34,Karlstad,31,Falun,same_core_shared_border,2,67.12151832809307
192,34,Karlstad,36,Linköping,same_core_shared_border,4,111.75078270536139
193,34,Karlstad,,,coastline,17,130.5550670960318
194,34,Karlstad,35,Gothenburg,same_core_shared_border,5,48.790158911119434
195,34,Karlstad,,,coastline,4,32.80954396359957
196,35,Gothenburg,34,Karlstad,same_core_shared_border,5,48.790158911119434
197,35,Gothenburg,,,coastline,7,62.455823131586136
198,35,Gothenburg,3293,Jönköping,same_core_shared_border,8,79.7911487064122
199,35,Gothenburg,37,Växjö,same_core_shared_border,5,75.53564647430653
200,35,Gothenburg,29,Malmö,same_core_shared_border,2,15.678030854162458
201,35,Gothenburg,,,coastline,43,269.1861255001448
202,36,Linköping,28,Stockholm,same_core_shared_border,5,50.93424263649141
203,36,Linköping,,,coastline,17,161.00321126035664
204,36,Linköping,37,Växjö,same_core_shared_border,5,43.75620961800694
205,36,Linköping,3293,Jönköping,same_core_shared_border,9,103.09373941172896
206,36,Linköping,,,coastline,8,64.85842511242942
207,36,Linköping,34,Karlstad,same_core_shared_border,4,111.75078270536139
208,36,Linköping,31,Falun,same_core_shared_border,3,41.13197990119851
209,37,Växjö,3293,Jönköping,same_core_shared_border,9,95.93169058458236
210,37,Växjö,36,Linköping,same_core_shared_border,5,43.75620961800694
211,37,Växjö,,,coastline,39,303.03850156228776
212,37,Växjö,29,Malmö,same_core_shared_border,6,47.228866272100774
213,37,Växjö,35,Gothenburg,same_core_shared_border,5,75.53564647430653
214,38,Visby,,,coastline,35,316.15660812677913
215,39,Rosenheim,136,Augsburg,same_core_shared_border,2,36.40333234549112
216,39,Rosenheim,118,Munich,same_core_shared_border,5,44.671150442319735
217,39,Rosenheim,137,Nuremberg,same_core_shared_border,9,96.64129146635156
218,39,Rosenheim,,,coastline,6,88.17952846535533
219,39,Rosenheim,167,Salzburg,different_core_shared_border,10,116.487927275192
220,39,Rosenheim,168,Innsbruck,different_core_shared_border,5,55.07566220395183
221,40,Narvik,42,Alta,same_core_shared_border,2,39.79843403343455
222,40,Narvik,22,Kiruna,different_core_shared_border,6,107.03579722590192
223,40,Narvik,24,Arjeborg,different_core_shared_border,2,41.908481676525554
224,40,Narvik,43,Bodø,same_core_shared_border,6,95.61282030342961
225,40,Narvik,,,coastline,120,971.5465798834423
226,41,Brześć,83,Łomża,same_core_shared_border,3,56.92385358118632
227,41,Brześć,3281,Białystok,same_core_shared_border,4,42.014643047936154
228,41,Brześć,3282,Baranovichi,same_core_shared_border,5,46.998960374208096
229,41,Brześć,89,Kowel,same_core_shared_border,9,92.38449667975591
230,41,Brześć,81,Lublin,same_core_shared_border,2,40.264631783931385
231,41,Brześć,47,Dęblin,same_core_shared_border,4,64.74642154878836
232,42,Alta,22,Kiruna,different_core_shared_border,5,64.96880586010917
233,42,Alta,40,Narvik,same_core_shared_border,2,39.79843403343455
234,42,Alta,,,coastline,108,950.4061677027994
235,42,Alta,3,Ivalo,different_core_shared_border,15,138.19833355694612
236,42,Alta,4,Enontekiö,different_core_shared_border,8,124.46413569588705
237,43,Bodø,,,coastline,23,235.56096251268693
238,43,Bodø,40,Narvik,same_core_shared_border,6,95.61282030342961
239,43,Bodø,24,Arjeborg,different_core_shared_border,5,130.86596557539454
240,43,Bodø,44,Steinkjer,same_core_shared_border,10,111.90419503993539
241,44,Steinkjer,43,Bodø,same_core_shared_border,10,111.90419503993539
242,44,Steinkjer,24,Arjeborg,different_core_shared_border,1,18.24828759089466
243,44,Steinkjer,3292,Hammerdal,different_core_shared_border,3,53.884182826654865
244,44,Steinkjer,32,Lofsdalen,different_core_shared_border,7,98.69206524253381
245,44,Steinkjer,45,Trondheim,same_core_shared_border,8,73.07640955956705
246,44,Steinkjer,,,coastline,42,314.7378561735185
247,45,Trondheim,44,Steinkjer,same_core_shared_border,8,73.07640955956705
248,45,Trondheim,32,Lofsdalen,different_core_shared_border,4,68.76984782445209
249,45,Trondheim,48,Hamar,same_core_shared_border,10,115.21144500419193
250,45,Trondheim,51,Stryn,same_core_shared_border,7,78.97541105709607
251,45,Trondheim,,,coastline,12,98.62729440835433
252,46,Oslo,48,Hamar,same_core_shared_border,4,40.33795971362798
253,46,Oslo,34,Karlstad,different_core_shared_border,5,66.83422840463534
254,46,Oslo,,,coastline,9,74.82206024826687
255,47,Dęblin,77,Płock,same_core_shared_border,4,52.82130626940458
256,47,Dęblin,75,Warsaw,same_core_shared_border,5,34.1152336186122
257,47,Dęblin,3279,Przasnysz,same_core_shared_border,9,43.80958753814479
258,47,Dęblin,83,Łomża,same_core_shared_border,1,23.08679276123039
259,47,Dęblin,41,Brześć,same_core_shared_border,4,64.74642154878836
260,47,Dęblin,81,Lublin,same_core_shared_border,1,37.013511046643494
261,47,Dęblin,82,Kielce,same_core_shared_border,4,104.54331059949926
262,48,Hamar,51,Stryn,same_core_shared_border,1,15.556349186104045
263,48,Hamar,45,Trondheim,same_core_shared_border,10,115.21144500419193
264,48,Hamar,32,Lofsdalen,different_core_shared_border,3,34.933594169140264
265,48,Hamar,33,Mora,different_core_shared_border,6,93.42949383324256
266,48,Hamar,34,Karlstad,different_core_shared_border,4,40.121243231170524
267,48,Hamar,46,Oslo,same_core_shared_border,4,40.33795971362798
268,48,Hamar,,,coastline,2,11.810249675906654
269,48,Hamar,53,Kristiansand,same_core_shared_border,2,19.70820393249937
270,48,Hamar,52,Rjukan,same_core_shared_border,2,59.22883440533434
271,48,Hamar,50,Bergen,same_core_shared_border,7,75.18446297081212
272,49,Mazyr,91,Lutsk,different_core_shared_border,5,88.82501601342908
273,49,Mazyr,163,Slutsk,same_core_shared_border,2,28.49383237345008
274,49,Mazyr,146,Žlobin,same_core_shared_border,4,67.57800751776412
275,49,Mazyr,142,Gomel,same_core_shared_border,3,69.17602021986622
276,49,Mazyr,3215,Bryansk,different_core_shared_border,1,18.439088914585774
277,49,Mazyr,100,Chernihiv,different_core_shared_border,3,42.48484358895511
278,49,Mazyr,,,coastline,2,14.491212440208496
279,49,Mazyr,112,Korosten,different_core_shared_border,6,77.16700232644324
280,50,Bergen,51,Stryn,same_core_shared_border,6,104.30847623254888
281,50,Bergen,48,Hamar,same_core_shared_border,7,75.18446297081212
282,50,Bergen,52,Rjukan,same_core_shared_border,6,145.54840716457463
283,50,Bergen,,,coastline,29,289.5906103490469
284,51,Stryn,,,coastline,48,486.14371233984525
285,51,Stryn,45,Trondheim,same_core_shared_border,7,78.97541105709607
286,51,Stryn,48,Hamar,same_core_shared_border,1,15.556349186104045
287,51,Stryn,50,Bergen,same_core_shared_border,6,104.30847623254888
288,52,Rjukan,50,Bergen,same_core_shared_border,6,145.54840716457463
289,52,Rjukan,48,Hamar,same_core_shared_border,2,59.22883440533434
290,52,Rjukan,53,Kristiansand,same_core_shared_border,9,167.6817198904654
291,52,Rjukan,,,coastline,11,100.04876640406617
292,53,Kristiansand,48,Hamar,same_core_shared_border,2,19.70820393249937
293,53,Kristiansand,,,coastline,42,436.4028746402973
294,53,Kristiansand,52,Rjukan,same_core_shared_border,9,167.6817198904654
295,54,Tallinn,,,coastline,8,111.519917811901
296,54,Tallinn,2822,Gdov,different_core_shared_border,8,54.33577415299568
297,54,Tallinn,58,Pärnu,same_core_shared_border,8,77.90545571517906
298,54,Tallinn,55,Haapsalu,same_core_shared_border,5,36.73616635995624
299,55,Haapsalu,54,Tallinn,same_core_shared_border,5,36.73616635995624
300,55,Haapsalu,58,Pärnu,same_core_shared_border,8,60.44404842459672
301,55,Haapsalu,,,coastline,14,128.61211385312444
302,57,Bern,152,Chur,same_core_shared_border,3,26.507593255501106
303,57,Bern,156,Lausanne,same_core_shared_border,3,54.978718827073834
304,57,Bern,,,coastline,6,62.99576959607329
305,57,Bern,283,Dijon,different_core_shared_border,4,61.53982414162746
306,57,Bern,,,coastline,5,70.78817639039434
307,57,Bern,149,Zürich,same_core_shared_border,5,24.63454219749486
308,58,Pärnu,,,coastline,4,24.216116701979804
309,58,Pärnu,55,Haapsalu,same_core_shared_border,8,60.44404842459672
310,58,Pärnu,54,Tallinn,same_core_shared_border,8,77.90545571517906
311,58,Pärnu,2822,Gdov,different_core_shared_border,3,34.066498432609876
312,58,Pärnu,59,Valga,same_core_shared_border,6,83.38804287240372
313,58,Pärnu,61,Cēsis,same_core_shared_border,7,47.92335968524154
314,59,Valga,61,Cēsis,same_core_shared_border,5,39.97046877540209
315,59,Valga,58,Pärnu,same_core_shared_border,6,83.38804287240372
316,59,Valga,2822,Gdov,different_core_shared_border,3,17.966514808956756
317,59,Valga,2820,Pskov,different_core_shared_border,4,38.92570456742466
318,59,Valga,63,Ludza,same_core_shared_border,5,75.70890652484071
319,60,London,226,Portsmouth,same_core_shared_border,3,33.58392901926029
320,60,London,229,Cambridge,same_core_shared_border,5,40.253828549837024
321,60,London,228,Ipswich,same_core_shared_border,3,23.916275743204963
322,60,London,,,coastline,4,18.549823185463147
323,60,London,227,Ashford,same_core_shared_border,2,35.710928058195805
324,61,Cēsis,,,coastline,3,32.396661323562675
325,61,Cēsis,58,Pärnu,same_core_shared_border,7,47.92335968524154
326,61,Cēsis,59,Valga,same_core_shared_border,5,39.97046877540209
327,61,Cēsis,63,Ludza,same_core_shared_border,6,63.64609943841137
328,61,Cēsis,64,Daugavpils,same_core_shared_border,1,8.06225774829855
329,61,Cēsis,62,Riga,same_core_shared_border,3,53.6266808134495
330,62,Riga,61,Cēsis,same_core_shared_border,3,53.6266808134495
331,62,Riga,64,Daugavpils,same_core_shared_border,3,30.919310123441306
332,62,Riga,69,Klaipėda,same_core_shared_border,2,22.432233403959607
333,62,Riga,70,Talsi,same_core_shared_border,2,28.45492851896423
334,62,Riga,,,coastline,4,44.65910747770276
335,63,Ludza,59,Valga,same_core_shared_border,5,75.70890652484071
336,63,Ludza,2820,Pskov,different_core_shared_border,3,35.96109364142578
337,63,Ludza,159,Polotsk,different_core_shared_border,5,63.78304638365563
338,63,Ludza,84,Wilno,different_core_shared_border,6,34.13712838000018
339,63,Ludza,64,Daugavpils,same_core_shared_border,4,64.36320111296399
340,63,Ludza,61,Cēsis,same_core_shared_border,6,63.64609943841137
341,64,Daugavpils,69,Klaipėda,same_core_shared_border,2,17.276052063583567
342,64,Daugavpils,62,Riga,same_core_shared_border,3,30.919310123441306
343,64,Daugavpils,61,Cēsis,same_core_shared_border,1,8.06225774829855
344,64,Daugavpils,63,Ludza,same_core_shared_border,4,64.36320111296399
345,64,Daugavpils,84,Wilno,different_core_shared_border,1,24.758836806279895
346,64,Daugavpils,85,Lida,different_core_shared_border,2,33.41640786499874
347,64,Daugavpils,65,Vilnius,same_core_shared_border,6,62.013102728093614
348,65,Vilnius,69,Klaipėda,same_core_shared_border,2,29.21785339513093
349,65,Vilnius,64,Daugavpils,same_core_shared_border,6,62.013102728093614
350,65,Vilnius,85,Lida,different_core_shared_border,6,61.11725468141238
351,65,Vilnius,66,Alytus,same_core_shared_border,6,39.43244318296342
352,65,Vilnius,67,Kaunas,same_core_shared_border,8,65.53484465175758
353,66,Alytus,125,Königsberg,different_core_shared_border,6,54.96110259292597
354,66,Alytus,67,Kaunas,same_core_shared_border,9,59.82014137686124
355,66,Alytus,65,Vilnius,same_core_shared_border,6,39.43244318296342
356,66,Alytus,85,Lida,different_core_shared_border,1,20.615528128088304
357,66,Alytus,83,Łomża,different_core_shared_border,6,79.36167751260835
358,67,Kaunas,68,Tauragė,same_core_shared_border,5,54.01912688207025
359,67,Kaunas,69,Klaipėda,same_core_shared_border,4,29.760120447297336
360,67,Kaunas,65,Vilnius,same_core_shared_border,8,65.53484465175758
361,67,Kaunas,66,Alytus,same_core_shared_border,9,59.82014137686124
362,67,Kaunas,125,Königsberg,different_core_shared_border,4,29.609560278997662
363,68,Tauragė,69,Klaipėda,same_core_shared_border,5,82.08584575633324
364,68,Tauragė,67,Kaunas,same_core_shared_border,5,54.01912688207025
365,68,Tauragė,125,Königsberg,different_core_shared_border,6,59.38964209805195
366,68,Tauragė,,,coastline,5,33.73906693577122
367,69,Klaipėda,,,coastline,7,61.48186418749655
368,69,Klaipėda,70,Talsi,same_core_shared_border,10,97.02848075653436
369,69,Klaipėda,62,Riga,same_core_shared_border,2,22.432233403959607
370,69,Klaipėda,64,Daugavpils,same_core_shared_border,2,17.276052063583567
371,69,Klaipėda,65,Vilnius,same_core_shared_border,2,29.21785339513093
372,69,Klaipėda,67,Kaunas,same_core_shared_border,4,29.760120447297336
373,69,Klaipėda,68,Tauragė,same_core_shared_border,5,82.08584575633324
374,70,Talsi,,,coastline,12,131.61462536418108
375,70,Talsi,62,Riga,same_core_shared_border,2,28.45492851896423
376,70,Talsi,69,Klaipėda,same_core_shared_border,10,97.02848075653436
377,71,Athlone,194,Belfast,different_core_shared_border,11,122.80361906450432
378,71,Athlone,,,coastline,6,34.7889460650585
379,71,Athlone,191,Dublin,same_core_shared_border,7,55.381643402791994
380,71,Athlone,192,Waterford,same_core_shared_border,6,68.00293429509263
381,71,Athlone,190,Cork,same_core_shared_border,4,45.373900678050816
382,71,Athlone,193,Galway,same_core_shared_border,11,122.52963339793186
383,72,Danzig,124,Kolberg,different_core_shared_border,7,58.61325465022959
384,72,Danzig,,,coastline,5,33.796990827756886
385,72,Danzig,125,Königsberg,different_core_shared_border,4,34.512351738531024
386,72,Danzig,73,Bydgoszcz,same_core_shared_border,2,33.86521854704697
387,73,Bydgoszcz,72,Danzig,same_core_shared_border,2,33.86521854704697
388,73,Bydgoszcz,125,Königsberg,different_core_shared_border,5,83.70099436094549
389,73,Bydgoszcz,3279,Przasnysz,same_core_shared_border,3,19.857300762134084
390,73,Bydgoszcz,77,Płock,same_core_shared_border,11,80.62007265176571
391,73,Bydgoszcz,76,Łódź,same_core_shared_border,4,35.713357117471936
392,73,Bydgoszcz,74,Poznań,same_core_shared_border,6,66.75714590336979
393,73,Bydgoszcz,124,Kolberg,different_core_shared_border,8,99.43271773494314
394,74,Poznań,126,Küstrin,different_core_shared_border,5,67.7522707641531
395,74,Poznań,123,Stettin,different_core_shared_border,1,17.88854381999832
396,74,Poznań,124,Kolberg,different_core_shared_border,4,53.380310577530544
397,74,Poznań,73,Bydgoszcz,same_core_shared_border,6,66.75714590336979
398,74,Poznań,76,Łódź,same_core_shared_border,10,76.36056797431512
399,74,Poznań,129,Breslau,different_core_shared_border,5,55.91252287240861
400,75,Warsaw,47,Dęblin,same_core_shared_border,5,34.1152336186122
