province_id,province_name,initial_owner_id,initial_owner_name,initial_owner_color,core_country_id,captured_day0_owner_id,core_matches_captured_owner
149,Zürich,14,Switzerland,#8E6941,14,14,True
150,Viborg,181,Denmark,#BE8C28,181,181,True
151,Aarhus,181,Denmark,#BE8C28,181,181,True
152,Chur,14,Switzerland,#8E6941,14,14,True
153,Lugano,14,Switzerland,#8E6941,14,14,True
154,Odense,181,Denmark,#BE8C28,181,181,True
155,Copenhagen,181,Denmark,#BE8C28,181,181,True
156,Lausanne,14,Switzerland,#8E6941,14,14,True
157,Næstved,181,Denmark,#BE8C28,181,181,True
158,Vienna,13,Austria,#CAA473,13,13,True
159,Polotsk,3,Belarus,#608367,3,3,True
160,Minsk,3,Belarus,#608367,3,3,True
161,Vitsebsk,3,Belarus,#608367,3,3,True
162,Barysaw,3,Belarus,#608367,3,3,True
163,Slutsk,3,Belarus,#608367,3,3,True
164,Lahti,1,Finland,#6E8F93,1,1,True
165,Sankt Pölten,13,Austria,#CAA473,13,13,True
166,Graz,13,Austria,#CAA473,13,13,True
167,Salzburg,13,Austria,#CAA473,13,13,True
168,Innsbruck,13,Austria,#CAA473,13,13,True
169,Prague,12,Czechoslovakia,#9B6A28,12,12,True
170,Liberec,12,Czechoslovakia,#9B6A28,12,12,True
171,Pilsen,12,Czechoslovakia,#9B6A28,12,12,True
172,Ostrava,12,Czechoslovakia,#9B6A28,12,12,True
173,Brno,12,Czechoslovakia,#9B6A28,12,12,True
174,Žilina,12,Czechoslovakia,#9B6A28,12,12,True
175,Košice,12,Czechoslovakia,#9B6A28,12,12,True
176,Mukačevo,12,Czechoslovakia,#9B6A28,12,12,True
177,Bratislava,12,Czechoslovakia,#9B6A28,12,12,True
178,Banská Bystrica,12,Czechoslovakia,#9B6A28,12,12,True
179,Amsterdam,20,Netherlands,#B65D2C,20,20,True
180,Rotterdam,20,Netherlands,#B65D2C,20,20,True
181,Den Helder,20,Netherlands,#B65D2C,20,20,True
182,Groningen,20,Netherlands,#B65D2C,20,20,True
183,Eindhoven,20,Netherlands,#B65D2C,20,20,True
184,Brussels,19,Belgium,#E5BB5F,19,19,True
185,Brugge,19,Belgium,#E5BB5F,19,19,True
186,Antwerpen,19,Belgium,#E5BB5F,19,19,True
187,Namur,19,Belgium,#E5BB5F,19,19,True
188,Bastogne,19,Belgium,#E5BB5F,19,19,True
189,Luxemburg,200,Luxembourg,#5D758B,200,200,True
190,Cork,22,Ireland,#90613D,22,22,True
191,Dublin,22,Ireland,#90613D,22,22,True
192,Waterford,22,Ireland,#90613D,22,22,True
193,Galway,22,Ireland,#90613D,22,22,True
194,Belfast,21,United Kingdom,#7A8054,21,21,True
195,Lisbon,25,Portugal,#8F7B44,25,25,True
196,Oporto,25,Portugal,#8F7B44,25,25,True
197,Coimbra,25,Portugal,#8F7B44,25,25,True
198,Viseu,25,Portugal,#8F7B44,25,25,True
199,Beja,25,Portugal,#8F7B44,25,25,True
200,Faro,25,Portugal,#8F7B44,25,25,True
201,Reykjavík,23,Iceland,#7DA68E,23,23,True
202,Akureyri,23,Iceland,#7DA68E,23,23,True
203,Höfn,23,Iceland,#7DA68E,23,23,True
204,Tirana,11,Albania,#CCA373,11,11,True
205,Vlore,11,Albania,#CCA373,11,11,True
206,Tucson,53,Arizona,#B19249,53,53,True
207,Phoenix,53,Arizona,#B19249,53,53,True
208,Flagstaff,53,Arizona,#B19249,53,53,True
209,Chinle,53,Arizona,#B19249,53,53,True
210,Kingman,53,Arizona,#B19249,53,53,True
211,Safford,53,Arizona,#B19249,53,53,True
212,Prescott,53,Arizona,#B19249,53,53,True
213,Yuma,53,Arizona,#B19249,53,53,True
214,Billings,44,Montana,#C15C4C,44,44,True
215,Great Falls,44,Montana,#C15C4C,44,44,True
216,Broadus,44,Montana,#C15C4C,44,44,True
217,Miles City,44,Montana,#C15C4C,44,44,True
218,Plentywood,44,Montana,#C15C4C,44,44,True
219,Havre,44,Montana,#C15C4C,44,44,True
220,Missoula,44,Montana,#C15C4C,44,44,True
221,Bozeman,44,Montana,#C15C4C,44,44,True
222,Helena,44,Montana,#C15C4C,44,44,True
223,Taunton,21,United Kingdom,#7A8054,21,21,True
224,Bristol,21,United Kingdom,#7A8054,21,21,True
225,Plymouth,21,United Kingdom,#7A8054,21,21,True
226,Portsmouth,21,United Kingdom,#7A8054,21,21,True
227,Ashford,21,United Kingdom,#7A8054,21,21,True
228,Ipswich,21,United Kingdom,#7A8054,21,21,True
229,Cambridge,21,United Kingdom,#7A8054,21,21,True
230,Birmingham,21,United Kingdom,#7A8054,21,21,True
231,Cardiff,21,United Kingdom,#7A8054,21,21,True
232,Liverpool,21,United Kingdom,#7A8054,21,21,True
233,Shrewsbury,21,United Kingdom,#7A8054,21,21,True
234,Sheffield,21,United Kingdom,#7A8054,21,21,True
235,Leeds,21,United Kingdom,#7A8054,21,21,True
236,Carlisle,21,United Kingdom,#7A8054,21,21,True
237,York,21,United Kingdom,#7A8054,21,21,True
238,Glasgow,21,United Kingdom,#7A8054,21,21,True
239,Aberdeen,21,United Kingdom,#7A8054,21,21,True
240,St. John's,39,New Foundland,#CF7762,39,39,True
241,Inverness,21,United Kingdom,#7A8054,21,21,True
242,Thurso,21,United Kingdom,#7A8054,21,21,True
243,Venice,16,Italy,#90AE77,16,16,True
244,Turin,16,Italy,#90AE77,16,16,True
245,Rome,16,Italy,#90AE77,16,16,True
246,Naples,16,Italy,#90AE77,16,16,True
247,Verona,16,Italy,#90AE77,16,16,True
248,Genoa,16,Italy,#90AE77,16,16,True
249,Bologna,16,Italy,#90AE77,16,16,True
250,Milan,16,Italy,#90AE77,16,16,True
251,Cuneo,16,Italy,#90AE77,16,16,True
252,Parma,16,Italy,#90AE77,16,16,True
253,Florence,16,Italy,#90AE77,16,16,True
254,San Marino,16,Italy,#90AE77,16,16,True
255,Cagliari,16,Italy,#90AE77,16,16,True
256,Palermo,16,Italy,#90AE77,16,16,True
257,Civitavecchia,16,Italy,#90AE77,16,16,True
258,Perugia,16,Italy,#90AE77,16,16,True
259,Pescara,16,Italy,#90AE77,16,16,True
260,Latina,16,Italy,#90AE77,16,16,True
261,Cassino,16,Italy,#90AE77,16,16,True
262,Bari,16,Italy,#90AE77,16,16,True
263,Foggia,16,Italy,#90AE77,16,16,True
264,Salerno,16,Italy,#90AE77,16,16,True
265,Potenza,16,Italy,#90AE77,16,16,True
266,Catanzaro,16,Italy,#90AE77,16,16,True
267,Paris,18,France,#6C9093,18,18,True
268,Bordeaux,18,France,#6C9093,18,18,True
269,Marseille,18,France,#6C9093,18,18,True
270,Lyon,18,France,#6C9093,18,18,True
271,Brest,18,France,#6C9093,18,18,True
272,Le Havre,18,France,#6C9093,18,18,True
273,Ajaccio,18,France,#6C9093,18,18,True
274,Lille,18,France,#6C9093,18,18,True
275,Nantes,18,France,#6C9093,18,18,True
276,La Rochelle,18,France,#6C9093,18,18,True
277,Toulouse,18,France,#6C9093,18,18,True
278,Bayonne,18,France,#6C9093,18,18,True
279,Tarbes,18,France,#6C9093,18,18,True
280,Orléans,18,France,#6C9093,18,18,True
281,Bourges,18,France,#6C9093,18,18,True
282,Mâcon,18,France,#6C9093,18,18,True
283,Dijon,18,France,#6C9093,18,18,True
284,Strasbourg,18,France,#6C9093,18,18,True
285,Nancy,18,France,#6C9093,18,18,True
286,Reims,18,France,#6C9093,18,18,True
287,Auxerre,18,France,#6C9093,18,18,True
288,Le Mans,18,France,#6C9093,18,18,True
289,Poitiers,18,France,#6C9093,18,18,True
290,Limoges,18,France,#6C9093,18,18,True
291,Saint Étienne,18,France,#6C9093,18,18,True
292,Avignon,18,France,#6C9093,18,18,True
293,Grenoble,18,France,#6C9093,18,18,True
294,Madrid,24,Spain,#CCA373,24,24,True
295,Murcia,24,Spain,#CCA373,24,24,True
296,Sevilla,24,Spain,#CCA373,24,24,True
297,Bilbao,24,Spain,#CCA373,24,24,True
298,Barcelona,24,Spain,#CCA373,24,24,True
299,Lugo,24,Spain,#CCA373,24,24,True
300,Vigo,24,Spain,#CCA373,24,24,True
301,León,24,Spain,#CCA373,24,24,True
302,Pamplona,24,Spain,#CCA373,24,24,True
303,Zaragoza,24,Spain,#CCA373,24,24,True
304,Lleida,24,Spain,#CCA373,24,24,True
305,Valencia,24,Spain,#CCA373,24,24,True
306,Cuenca,24,Spain,#CCA373,24,24,True
307,Malaga,24,Spain,#CCA373,24,24,True
308,Cádiz,24,Spain,#CCA373,24,24,True
309,Cáceres,24,Spain,#CCA373,24,24,True
310,Budapest,7,Romania,#82441D,7,7,True
311,Córdoba,24,Spain,#CCA373,24,24,True
312,Huelva,24,Spain,#CCA373,24,24,True
313,Granada,24,Spain,#CCA373,24,24,True
314,Toledo,24,Spain,#CCA373,24,24,True
315,Jaén,24,Spain,#CCA373,24,24,True
316,Salamanca,24,Spain,#CCA373,24,24,True
317,Ávila,24,Spain,#CCA373,24,24,True
318,Valladolid,24,Spain,#CCA373,24,24,True
319,Zamora,24,Spain,#CCA373,24,24,True
320,Guymon,51,Oklahoma,#9B6A28,51,51,True
321,Woodward,51,Oklahoma,#9B6A28,51,51,True
322,Oklahoma City,51,Oklahoma,#9B6A28,51,51,True
323,Lawton,51,Oklahoma,#9B6A28,51,51,True
324,Tulsa,51,Oklahoma,#9B6A28,51,51,True
325,McAlester,51,Oklahoma,#9B6A28,51,51,True
326,Norman,51,Oklahoma,#9B6A28,51,51,True
327,Durant,51,Oklahoma,#9B6A28,51,51,True
328,Enid,51,Oklahoma,#9B6A28,51,51,True
329,Ponca City,51,Oklahoma,#9B6A28,51,51,True
330,Miskolc,7,Romania,#82441D,7,7,True
331,Vác,7,Romania,#82441D,7,7,True
332,Györ,7,Romania,#82441D,7,7,True
333,Pécs,7,Romania,#82441D,7,7,True
334,Keszthely,7,Romania,#82441D,7,7,True
335,Debrecen,7,Romania,#82441D,7,7,True
336,Gyula,7,Romania,#82441D,7,7,True
337,Timisoara,7,Romania,#82441D,7,7,True
338,Bucharest,7,Romania,#82441D,7,7,True
339,Iași,7,Romania,#82441D,7,7,True
340,Constanța,7,Romania,#82441D,7,7,True
341,Tulcea,7,Romania,#82441D,7,7,True
342,Chișinău,7,Romania,#82441D,7,7,True
343,Botoșani,7,Romania,#82441D,7,7,True
344,Deva,7,Romania,#82441D,7,7,True
345,Pitești,7,Romania,#82441D,7,7,True
346,Reșița,7,Romania,#82441D,7,7,True
347,Craiova,7,Romania,#82441D,7,7,True
348,Satu Mare,7,Romania,#82441D,7,7,True
349,Zalău,7,Romania,#82441D,7,7,True
350,Ploiești,7,Romania,#82441D,7,7,True
351,Bacău,7,Romania,#82441D,7,7,True
352,Suceava,7,Romania,#82441D,7,7,True
353,Târgu-Mureș,7,Romania,#82441D,7,7,True
354,Zagreb,17,Yugoslavia,#7A8150,17,17,True
355,Dubrovnik,17,Yugoslavia,#7A8150,17,17,True
356,Seattle,31,Northwest USA,#80A37E,31,31,True
357,Sarajevo,17,Yugoslavia,#7A8150,17,17,True
358,Belgrad,17,Yugoslavia,#7A8150,17,17,True
359,Mostar,17,Yugoslavia,#7A8150,17,17,True
360,Tuzla,17,Yugoslavia,#7A8150,17,17,True
361,Zenica,17,Yugoslavia,#7A8150,17,17,True
362,Banja Luka,17,Yugoslavia,#7A8150,17,17,True
363,Šibenik,17,Yugoslavia,#7A8150,17,17,True
364,Novi Sad,17,Yugoslavia,#7A8150,17,17,True
365,Vršac,17,Yugoslavia,#7A8150,17,17,True
366,Šabac,17,Yugoslavia,#7A8150,17,17,True
367,Slavonski Brod,17,Yugoslavia,#7A8150,17,17,True
368,Maribor,17,Yugoslavia,#7A8150,17,17,True
369,Ljubljana,17,Yugoslavia,#7A8150,17,17,True
370,Rijeka,17,Yugoslavia,#7A8150,17,17,True
371,Zadar,17,Yugoslavia,#7A8150,17,17,True
372,Negotin,17,Yugoslavia,#7A8150,17,17,True
373,Kragujevac,17,Yugoslavia,#7A8150,17,17,True
374,Niš,17,Yugoslavia,#7A8150,17,17,True
375,Skopje,17,Yugoslavia,#7A8150,17,17,True
376,Pristina,17,Yugoslavia,#7A8150,17,17,True
377,Podgorica,17,Yugoslavia,#7A8150,17,17,True
378,Užice,17,Yugoslavia,#7A8150,17,17,True
379,Sofia,8,Bulgaria,#728476,8,8,True
380,Vratsa,8,Bulgaria,#728476,8,8,True
381,Gorna Dzhumaya,8,Bulgaria,#728476,8,8,True
382,Plovdiv,8,Bulgaria,#728476,8,8,True
383,Pleven,8,Bulgaria,#728476,8,8,True
384,Tarnovo,8,Bulgaria,#728476,8,8,True
385,Varna,8,Bulgaria,#728476,8,8,True
386,Burgas,8,Bulgaria,#728476,8,8,True
387,Thessaloniki,10,Greece,#6D8F93,10,10,True
388,Athens,10,Greece,#6D8F93,10,10,True
389,Trikala,10,Greece,#6D8F93,10,10,True
390,Sparti,10,Greece,#6D8F93,10,10,True
391,Ioannina,10,Greece,#6D8F93,10,10,True
392,Xanthi,10,Greece,#6D8F93,10,10,True
393,Kalamaria,10,Greece,#6D8F93,10,10,True
394,Serres,10,Greece,#6D8F93,10,10,True
395,Edessa,10,Greece,#6D8F93,10,10,True
396,Kastoria,10,Greece,#6D8F93,10,10,True
397,Grevena,10,Greece,#6D8F93,10,10,True
398,Kalabaka,10,Greece,#6D8F93,10,10,True
399,Arta,10,Greece,#6D8F93,10,10,True
400,Corfu,10,Greece,#6D8F93,10,10,True
401,Larissa,10,Greece,#6D8F93,10,10,True
402,Volos,10,Greece,#6D8F93,10,10,True
403,Karditsa,10,Greece,#6D8F93,10,10,True
404,Lamia,10,Greece,#6D8F93,10,10,True
405,Patras,10,Greece,#6D8F93,10,10,True
406,Githio,10,Greece,#6D8F93,10,10,True
407,Agrinio,10,Greece,#6D8F93,10,10,True
408,Thiva,10,Greece,#6D8F93,10,10,True
409,Heraklion,10,Greece,#6D8F93,10,10,True
410,Rhodes,16,Italy,#90AE77,16,16,True
411,Ankara,9,Turkey,#8F7B44,9,9,True
412,Istanbul,9,Turkey,#8F7B44,9,9,True
413,Adana,9,Turkey,#8F7B44,9,9,True
414,Izmir,9,Turkey,#8F7B44,9,9,True
415,Kars,9,Turkey,#8F7B44,9,9,True
416,Van,9,Turkey,#8F7B44,9,9,True
417,Siirt,9,Turkey,#8F7B44,9,9,True
418,Erzurum,9,Turkey,#8F7B44,9,9,True
419,Ordu,9,Turkey,#8F7B44,9,9,True
420,Çorum,9,Turkey,#8F7B44,9,9,True
421,Bafra,9,Turkey,#8F7B44,9,9,True
422,Bolu,9,Turkey,#8F7B44,9,9,True
423,Eskişehir,9,Turkey,#8F7B44,9,9,True
424,Bursa,9,Turkey,#8F7B44,9,9,True
425,Malatya,9,Turkey,#8F7B44,9,9,True
426,Balıkesir,9,Turkey,#8F7B44,9,9,True
427,Aydın,9,Turkey,#8F7B44,9,9,True
428,Antalya,9,Turkey,#8F7B44,9,9,True
429,Mardin,9,Turkey,#8F7B44,9,9,True
430,Konya,9,Turkey,#8F7B44,9,9,True
431,Kütahya,9,Turkey,#8F7B44,9,9,True
432,Mersin,9,Turkey,#8F7B44,9,9,True
433,Karaman,9,Turkey,#8F7B44,9,9,True
434,Kırşehir,9,Turkey,#8F7B44,9,9,True
435,Aksaray,9,Turkey,#8F7B44,9,9,True
436,Gaziantep,9,Turkey,#8F7B44,9,9,True
437,Çorlu,9,Turkey,#8F7B44,9,9,True
438,Portland,31,Northwest USA,#80A37E,31,31,True
439,Spokane,31,Northwest USA,#80A37E,31,31,True
440,Boise,31,Northwest USA,#80A37E,31,31,True
441,Nampa,31,Northwest USA,#80A37E,31,31,True
442,Idaho Falls,31,Northwest USA,#80A37E,31,31,True
443,Pocatello,31,Northwest USA,#80A37E,31,31,True
444,Burley,31,Northwest USA,#80A37E,31,31,True
445,Carey,31,Northwest USA,#80A37E,31,31,True
446,Stanley,31,Northwest USA,#80A37E,31,31,True
447,Baker City,31,Northwest USA,#80A37E,31,31,True
448,Bend,31,Northwest USA,#80A37E,31,31,True
449,Eugene,31,Northwest USA,#80A37E,31,31,True
450,Medford,31,Northwest USA,#80A37E,31,31,True
451,Salem (OR),31,Northwest USA,#80A37E,31,31,True
452,Tacoma,31,Northwest USA,#80A37E,31,31,True
453,Burns,31,Northwest USA,#80A37E,31,31,True
454,Klamath Falls,31,Northwest USA,#80A37E,31,31,True
455,Yakima,31,Northwest USA,#80A37E,31,31,True
456,Everett,31,Northwest USA,#80A37E,31,31,True
457,Lewiston,31,Northwest USA,#80A37E,31,31,True
458,Kennewick,31,Northwest USA,#80A37E,31,31,True
459,Coeur d'Alene,31,Northwest USA,#80A37E,31,31,True
460,Omak,31,Northwest USA,#80A37E,31,31,True
461,Vancouver,30,British Columbia,#ADA365,30,30,True
462,Bismarck,43,North USA,#F0CE8E,43,43,True
463,Sioux Falls,43,North USA,#F0CE8E,43,43,True
464,Minneapolis,43,North USA,#F0CE8E,43,43,True
465,Fargo,43,North USA,#F0CE8E,43,43,True
466,Rochester (MN),43,North USA,#F0CE8E,43,43,True
467,Mankato,43,North USA,#F0CE8E,43,43,True
468,St. Cloud,43,North USA,#F0CE8E,43,43,True
469,Duluth,43,North USA,#F0CE8E,43,43,True
470,Bemidji,43,North USA,#F0CE8E,43,43,True
471,Alexandria (MN),43,North USA,#F0CE8E,43,43,True
472,Grand Forks,43,North USA,#F0CE8E,43,43,True
473,Rugby,43,North USA,#F0CE8E,43,43,True
474,Williston,43,North USA,#F0CE8E,43,43,True
475,Dickinson,43,North USA,#F0CE8E,43,43,True
476,Jamestown (ND),43,North USA,#F0CE8E,43,43,True
477,Ipswich (SD),43,North USA,#F0CE8E,43,43,True
478,Mobridge,43,North USA,#F0CE8E,43,43,True
479,Mitchell,43,North USA,#F0CE8E,43,43,True
480,Murdo,43,North USA,#F0CE8E,43,43,True
481,Redig,43,North USA,#F0CE8E,43,43,True
482,Rapid City,43,North USA,#F0CE8E,43,43,True
483,Las Vegas,32,California,#BF794E,32,32,True
484,Los Angeles,32,California,#BF794E,32,32,True
485,San Francisco,32,California,#BF794E,32,32,True
486,Sacramento,32,California,#BF794E,32,32,True
487,San Diego,32,California,#BF794E,32,32,True
488,Anaheim,32,California,#BF794E,32,32,True
489,Bakersfield,32,California,#BF794E,32,32,True
490,El Centro,32,California,#BF794E,32,32,True
491,Palm Springs,32,California,#BF794E,32,32,True
492,Henderson,32,California,#BF794E,32,32,True
493,Crystal Springs,32,California,#BF794E,32,32,True
494,Ely,32,California,#BF794E,32,32,True
495,Elko,32,California,#BF794E,32,32,True
496,Battle Mountain,32,California,#BF794E,32,32,True
497,Reno,32,California,#BF794E,32,32,True
498,Eureka,32,California,#BF794E,32,32,True
499,Salinas,32,California,#BF794E,32,32,True
500,Redding,32,California,#BF794E,32,32,True
501,Santa Rosa (CA),32,California,#BF794E,32,32,True
502,Chico,32,California,#BF794E,32,32,True
503,Merced,32,California,#BF794E,32,32,True
504,Fresno,32,California,#BF794E,32,32,True
505,Tonopah,32,California,#BF794E,32,32,True
506,Austin (NV),32,California,#BF794E,32,32,True
507,Olancha,32,California,#BF794E,32,32,True
508,Bishop,32,California,#BF794E,32,32,True
509,Salt Lake City,45,Colorado,#6990A4,45,45,True
510,Denver,45,Colorado,#6990A4,45,45,True
511,Cheyenne,45,Colorado,#6990A4,45,45,True
512,Ogden,45,Colorado,#6990A4,45,45,True
513,Provo,45,Colorado,#6990A4,45,45,True
514,Cedar City,45,Colorado,#6990A4,45,45,True
515,Richfield,45,Colorado,#6990A4,45,45,True
516,Delta,45,Colorado,#6990A4,45,45,True
517,Vernal,45,Colorado,#6990A4,45,45,True
518,Fort Collins,45,Colorado,#6990A4,45,45,True
519,Casper,45,Colorado,#6990A4,45,45,True
520,Gilette,45,Colorado,#6990A4,45,45,True
