province_id,province_name,component_count,min_x_raw,min_y_raw,max_x_raw,max_y_raw,min_x,min_y,max_x,max_y
24,Arjeborg,1,109616,12480,111952,15248,6851.0,780.0,6997.0,953.0
25,Umeå,1,111056,14064,113505,16683,6941.0,879.0,7094.0625,1042.6875
26,Vilhelmina,1,110448,14912,111152,15584,6903.0,932.0,6947.0,974.0
27,Östersund,1,109584,16448,110256,17040,6849.0,1028.0,6891.0,1065.0
28,Stockholm,1,111136,20880,112196,21541,6946.0,1305.0,7012.25,1346.3125
29,Malmö,1,107950,24816,108624,25455,6746.875,1551.0,6789.0,1590.9375
30,Härnösand,1,110096,15760,112808,18428,6881.0,985.0,7050.5,1151.75
31,Falun,1,109888,18112,112495,21259,6868.0,1132.0,7030.9375,1328.6875
32,Lofsdalen,1,108032,15856,109792,18784,6752.0,991.0,6862.0,1174.0
33,Mora,1,107952,18624,110192,20528,6747.0,1164.0,6887.0,1283.0
34,Karlstad,1,107282,20048,110496,22320,6705.125,1253.0,6906.0,1395.0
35,Gothenburg,1,107207,21976,108944,24950,6700.4375,1373.5,6809.0,1559.375
36,Linköping,1,108459,21120,111876,22976,6778.6875,1320.0,6992.25,1436.0
37,Växjö,2,108348,22819,110918,25556,6771.75,1426.1875,6932.375,1597.25
38,Visby,1,111221,22694,112554,24692,6951.3125,1418.375,7034.625,1543.25
39,Rosenheim,1,106608,31599,108230,34160,6663.0,1974.9375,6764.375,2135.0
40,Narvik,1,108734,10243,112320,13344,6795.875,640.1875,7020.0,834.0
41,Brześć,1,114240,27824,116160,29328,7140.0,1739.0,7260.0,1833.0
42,Alta,1,111957,9351,117445,11648,6997.3125,584.4375,7340.3125,728.0
43,Bodø,1,107934,12614,110528,14896,6745.875,788.375,6908.0,931.0
44,Steinkjer,1,106396,14544,109664,17076,6649.75,909.0,6854.0,1067.25
45,Trondheim,1,106178,16509,108128,18832,6636.125,1031.8125,6758.0,1177.0
46,Oslo,1,107034,20560,107680,21692,6689.625,1285.0,6730.0,1355.75
47,Dęblin,1,112704,28432,114816,29856,7044.0,1777.0,7176.0,1866.0
48,Hamar,1,106096,18096,108272,20964,6631.0,1131.0,6767.0,1310.25
49,Mazyr,1,118512,27520,121024,29056,7407.0,1720.0,7564.0,1816.0
50,Bergen,1,103520,18928,106352,20625,6470.0,1183.0,6647.0,1289.0625
51,Stryn,1,103612,17173,106512,19248,6475.75,1073.3125,6657.0,1203.0
52,Rjukan,1,103459,20048,106720,21184,6466.1875,1253.0,6670.0,1324.0
53,Kristiansand,1,103573,20816,107101,22593,6473.3125,1301.0,6693.8125,1412.0625
54,Tallinn,1,115001,20714,116912,21568,7187.5625,1294.625,7307.0,1348.0
55,Haapsalu,3,113474,20934,115552,22547,7092.125,1308.375,7222.0,1409.1875
57,Bern,1,102081,33818,103968,34953,6380.0625,2113.625,6498.0,2184.5625
58,Pärnu,1,115116,21392,116976,22624,7194.75,1337.0,7311.0,1414.0
59,Valga,1,115808,21904,117200,23056,7238.0,1369.0,7325.0,1441.0
60,London,1,96992,28144,97935,28784,6062.0,1759.0,6120.9375,1799.0
61,Cēsis,1,115069,22304,116112,23728,7191.8125,1394.0,7257.0,1483.0
62,Riga,1,114593,22961,115584,23936,7162.0625,1435.0625,7224.0,1496.0
63,Ludza,1,115696,22640,117104,24336,7231.0,1415.0,7319.0,1521.0
64,Daugavpils,1,115136,23712,116448,24896,7196.0,1482.0,7278.0,1556.0
65,Vilnius,1,114816,24208,115712,25792,7176.0,1513.0,7232.0,1612.0
66,Alytus,1,114192,25456,115440,26512,7137.0,1591.0,7215.0,1657.0
67,Kaunas,1,114032,24512,115088,25680,7127.0,1532.0,7193.0,1605.0
68,Tauragė,1,113115,24176,114368,25264,7069.6875,1511.0,7148.0,1579.0
69,Klaipėda,1,113115,23412,115168,24560,7069.6875,1463.25,7198.0,1535.0
70,Talsi,1,113286,22618,114832,23824,7080.375,1413.625,7177.0,1489.0
71,Athlone,1,90368,24208,92429,26304,5648.0,1513.0,5776.8125,1644.0
72,Danzig,1,111280,25777,112147,26672,6955.0,1611.0625,7009.1875,1667.0
73,Bydgoszcz,1,110832,26480,112320,28752,6927.0,1655.0,7020.0,1797.0
74,Poznań,1,109680,27776,111184,29456,6855.0,1736.0,6949.0,1841.0
75,Warsaw,1,112880,28384,113536,29088,7055.0,1774.0,7096.0,1818.0
76,Łódź,1,110592,28672,112528,30336,6912.0,1792.0,7033.0,1896.0
77,Płock,1,111712,27920,113072,29696,6982.0,1745.0,7067.0,1856.0
78,Kraków,1,112304,30928,112784,31424,7019.0,1933.0,7049.0,1964.0
79,Lwów,1,115760,30768,116336,31280,7235.0,1923.0,7271.0,1955.0
80,Tarnów,1,112752,30704,114240,31712,7047.0,1919.0,7140.0,1982.0
81,Lublin,1,114336,29296,116320,30960,7146.0,1831.0,7270.0,1935.0
82,Kielce,1,112400,29632,114416,31056,7025.0,1852.0,7151.0,1941.0
83,Łomża,1,113328,26112,115744,28464,7083.0,1632.0,7234.0,1779.0
84,Wilno,1,116160,24192,117408,25248,7260.0,1512.0,7338.0,1578.0
85,Lida,1,115360,24608,117152,26576,7210.0,1538.0,7322.0,1661.0
86,Stanisławów,1,115696,30544,117472,32720,7231.0,1909.0,7342.0,2045.0
87,Brody,1,116192,29136,118208,31744,7262.0,1821.0,7388.0,1984.0
88,Sarny,1,116800,27408,118208,29440,7300.0,1713.0,7388.0,1840.0
89,Kowel,1,115456,28096,117232,30128,7216.0,1756.0,7327.0,1883.0
90,Edinburgh,1,94256,21864,94976,22480,5891.0,1366.5,5936.0,1405.0
91,Lutsk,1,118048,27968,119600,30368,7378.0,1748.0,7475.0,1898.0
92,Kiev,1,120672,29641,121536,30447,7542.0,1852.5625,7596.0,1902.9375
93,Odessa,1,120512,32624,121470,33360,7532.0,2039.0,7591.875,2085.0
94,Salisbury,1,93708,28423,95968,30360,5856.75,1776.4375,5998.0,1897.5
95,Kharkiv,1,123152,29296,123904,30128,7697.0,1831.0,7744.0,1883.0
96,Stalino,1,123600,31248,124256,31936,7725.0,1953.0,7766.0,1996.0
97,Luhansk,1,123792,29456,125648,31991,7737.0,1841.0,7853.0,1999.4375
98,Poltava,1,122560,29920,124304,30928,7660.0,1870.0,7769.0,1933.0
99,Cherkasy,1,120626,29696,122896,31164,7539.125,1856.0,7681.0,1947.75
100,Chernihiv,1,120702,28128,123360,30208,7543.875,1758.0,7710.0,1888.0
101,Zaporizhzhia,1,122263,31488,124779,32832,7641.4375,1968.0,7798.6875,2052.0
102,Dnipropetrovsk,1,122144,30496,124336,31792,7634.0,1906.0,7771.0,1987.0
103,Sevastopol,1,121128,33267,123808,34983,7570.5,2079.1875,7738.0,2186.4375
104,Melitopol,1,121054,31644,123344,33503,7565.875,1977.75,7709.0,2093.9375
105,Kirovohrad,1,121552,31040,122450,31814,7597.0,1940.0,7653.125,1988.375
106,Vinnytsia,1,119088,30640,120240,32080,7443.0,1915.0,7515.0,2005.0
107,Lviv,1,117600,29632,119136,31664,7350.0,1852.0,7446.0,1979.0
108,Zhytomyr,1,119360,29808,120890,31040,7460.0,1863.0,7555.625,1940.0
109,Mykolayiv,1,120320,31408,122217,32914,7520.0,1963.0,7638.5625,2057.125
110,Ternopil,1,118480,29072,119664,31008,7405.0,1817.0,7479.0,1938.0
111,Uman,1,120064,30588,121712,32560,7504.0,1911.75,7607.0,2035.0
112,Korosten,1,119408,28743,121061,29936,7463.0,1796.4375,7566.3125,1871.0
113,Hamburg,1,105326,26648,106334,27266,6582.875,1665.5,6645.875,1704.125
114,Kiel,1,104717,25110,106874,26835,6544.8125,1569.375,6679.625,1677.1875
115,Dresden,1,107334,28880,109264,30358,6708.375,1805.0,6829.0,1897.375
116,Berlin,1,107648,27872,108384,28624,6728.0,1742.0,6774.0,1789.0
117,Cologne,1,102976,29879,103565,30368,6436.0,1867.4375,6472.8125,1898.0
118,Munich,1,106160,32848,106880,33472,6635.0,2053.0,6680.0,2092.0
119,Osnabrück,1,103096,27568,105216,29032,6443.5,1723.0,6576.0,1814.5
120,Bremen,1,103348,26541,105568,27968,6459.25,1658.8125,6598.0,1748.0
121,Hannover,1,105056,27120,106772,29376,6566.0,1695.0,6673.25,1836.0
122,Rostock,1,106014,25921,108844,27473,6625.875,1620.0625,6802.75,1717.0625
123,Stettin,1,107744,26447,110208,28256,6734.0,1652.9375,6888.0,1766.0
124,Kolberg,1,110070,25677,111880,28128,6879.375,1604.8125,6992.5,1758.0
125,Königsberg,1,111744,24796,114368,27680,6984.0,1549.75,7148.0,1730.0
126,Küstrin,1,107840,28016,109840,29408,6740.0,1751.0,6865.0,1838.0
127,Magdeburg,1,106175,27365,107888,29074,6635.9375,1710.3125,6743.0,1817.125
128,Oppeln,1,108877,29952,112192,31408,6804.8125,1872.0,7012.0,1963.0
129,Breslau,1,108896,29184,111328,30256,6806.0,1824.0,6958.0,1891.0
130,Leipzig,1,105936,28467,108311,30800,6621.0,1779.1875,6769.4375,1925.0
131,Düsseldorf,1,102480,28407,104436,30160,6405.0,1775.4375,6527.25,1885.0
132,Frankfurt,1,102304,30107,104344,32192,6394.0,1881.6875,6521.5,2012.0
133,Stuttgart,1,103286,31981,104272,32672,6455.375,1998.8125,6517.0,2042.0
134,Saarbrücken,1,101968,30384,103424,32489,6373.0,1899.0,6464.0,2030.5625
135,Freiburg,1,102245,32240,105632,34272,6390.3125,2015.0,6602.0,2142.0
136,Augsburg,1,104064,32064,106752,34160,6504.0,2004.0,6672.0,2135.0
137,Nuremberg,1,105231,31131,107561,33008,6576.9375,1945.6875,6722.5625,2063.0
138,Würzburg,1,104014,30640,106114,32384,6500.875,1915.0,6632.125,2024.0
139,Kassel,1,103388,28784,105664,30859,6461.75,1799.0,6604.0,1928.6875
140,Erfurt,1,104928,29200,107203,31476,6558.0,1825.0,6700.1875,1967.25
141,Mogilev,1,118208,25040,120688,26688,7388.0,1565.0,7543.0,1668.0
142,Gomel,1,119872,26384,121056,27840,7492.0,1649.0,7566.0,1740.0
143,Esbjerg,1,104704,24188,106051,25518,6544.0,1511.75,6628.1875,1594.875
144,Rock Springs,1,30768,30976,31424,31552,1923.0,1936.0,1964.0,1972.0
145,Frederikshavn,1,105025,22631,106908,23739,6564.0625,1414.4375,6681.75,1483.6875
146,Žlobin,1,118464,26288,120016,27840,7404.0,1643.0,7501.0,1740.0
147,Babruysk,1,117728,25808,119184,27248,7358.0,1613.0,7449.0,1703.0
148,Przemyśl,1,114048,30224,116064,31792,7128.0,1889.0,7254.0,1987.0
149,Zürich,1,103706,33760,104644,34272,6481.625,2110.0,6540.25,2142.0
150,Viborg,1,104821,23346,106188,24480,6551.3125,1459.125,6636.75,1530.0
151,Aarhus,1,105424,23378,106876,24818,6589.0,1461.125,6679.75,1551.125
152,Chur,1,103664,33809,105460,35399,6479.0,2113.0625,6591.25,2212.4375
153,Lugano,1,103280,34784,104950,36000,6455.0,2174.0,6559.375,2250.0
154,Odense,3,105868,24838,106802,25971,6616.75,1552.375,6675.125,1623.1875
155,Copenhagen,1,107234,24498,107915,25356,6702.125,1531.125,6744.6875,1584.75
156,Lausanne,1,101623,34528,103808,35888,6351.4375,2158.0,6488.0,2243.0
157,Næstved,1,106713,24558,107776,25714,6669.5625,1534.875,6736.0,1607.125
158,Vienna,1,110096,32671,110873,33360,6881.0,2041.9375,6929.5625,2085.0
159,Polotsk,1,116944,23168,118656,24800,7309.0,1448.0,7416.0,1550.0
160,Minsk,1,117024,25440,117728,26208,7314.0,1590.0,7358.0,1638.0
161,Vitsebsk,1,118528,23440,120240,25440,7408.0,1465.0,7515.0,1590.0
162,Barysaw,1,117120,24416,119200,26176,7320.0,1526.0,7450.0,1636.0
163,Slutsk,1,117024,25968,118928,27968,7314.0,1623.0,7433.0,1748.0
164,Lahti,1,114864,18357,116496,20096,7179.0,1147.3125,7281.0,1256.0
165,Sankt Pölten,1,108688,32392,110304,33952,6793.0,2024.5,6894.0,2122.0
166,Graz,1,108736,33148,110968,35056,6796.0,2071.75,6935.5,2191.0
167,Salzburg,1,107232,32779,108960,34784,6702.0,2048.6875,6810.0,2174.0
168,Innsbruck,1,104722,33904,108960,35232,6545.125,2119.0,6810.0,2202.0
169,Prague,1,108448,31088,109184,31712,6778.0,1943.0,6824.0,1982.0
170,Liberec,1,107856,30153,110112,31536,6741.0,1884.5625,6882.0,1971.0
171,Pilsen,1,107040,30416,108938,32903,6690.0,1901.0,6808.625,2056.4375
172,Ostrava,1,109680,30749,112080,32032,6855.0,1921.8125,7005.0,2002.0
173,Brno,1,108544,31328,110464,32944,6784.0,1958.0,6904.0,2059.0
174,Žilina,1,111664,31312,113792,32352,6979.0,1957.0,7112.0,2022.0
175,Košice,1,113472,31408,115600,32624,7092.0,1963.0,7225.0,2039.0
176,Mukačevo,1,115136,31792,116864,32784,7196.0,1987.0,7304.0,2049.0
177,Bratislava,1,110107,31936,112048,33489,6881.6875,1996.0,7003.0,2093.0625
178,Banská Bystrica,1,111642,32048,113856,33507,6977.625,2003.0,7116.0,2094.1875
179,Amsterdam,1,101488,27618,102192,28401,6343.0,1726.125,6387.0,1775.0625
180,Rotterdam,1,100835,27996,101878,28474,6302.1875,1749.75,6367.375,1779.625
181,Den Helder,1,100998,27094,102008,28112,6312.375,1693.375,6375.5,1757.0
182,Groningen,1,101842,26716,103681,28635,6365.125,1669.75,6480.0625,1789.6875
183,Eindhoven,1,100572,28159,103199,29536,6285.75,1759.9375,6449.9375,1846.0
184,Brussels,1,100800,29120,101472,29696,6300.0,1820.0,6342.0,1856.0
185,Brugge,1,99835,28701,100896,29920,6239.6875,1793.8125,6306.0,1870.0
186,Antwerpen,1,100375,28619,102176,29376,6273.4375,1788.6875,6386.0,1836.0
187,Namur,1,100512,29552,101744,30656,6282.0,1847.0,6359.0,1916.0
188,Bastogne,1,101296,29328,102512,30256,6331.0,1833.0,6407.0,1891.0
189,Luxemburg,1,101552,30160,102352,30880,6347.0,1885.0,6397.0,1930.0
190,Cork,1,88689,25898,91396,28278,5543.0625,1618.625,5712.25,1767.375
191,Dublin,1,91808,24942,92595,25843,5738.0,1558.875,5787.1875,1615.1875
192,Waterford,1,90944,25632,92709,27347,5684.0,1602.0,5794.3125,1709.1875
193,Galway,1,88724,22922,91508,26048,5545.25,1432.625,5719.25,1628.0
194,Belfast,1,90832,22939,92890,24720,5677.0,1433.6875,5805.625,1545.0
195,Lisbon,1,87224,41211,87858,41964,5451.5,2575.6875,5491.125,2622.75
196,Oporto,1,88300,37664,90784,39680,5518.75,2354.0,5674.0,2480.0
197,Coimbra,1,87292,39216,89200,41504,5455.75,2451.0,5575.0,2594.0
198,Viseu,1,88720,39216,90288,41360,5545.0,2451.0,5643.0,2585.0
199,Beja,1,87381,41088,89408,43152,5461.3125,2568.0,5588.0,2697.0
200,Faro,1,87308,42414,88976,44235,5456.75,2650.875,5561.0,2764.6875
201,Reykjavík,1,83830,15854,85808,17139,5239.375,990.875,5363.0,1071.1875
202,Akureyri,1,83543,14454,88959,16800,5221.4375,903.375,5559.9375,1050.0
203,Höfn,1,85512,15120,89495,17475,5344.5,945.0,5593.4375,1092.1875
204,Tirana,1,113279,40048,114272,40787,7079.9375,2503.0,7142.0,2549.1875
205,Vlore,1,113489,40592,115072,42294,7093.0625,2537.0,7192.0,2643.375
206,Tucson,1,28832,40240,31536,41392,1802.0,2515.0,1971.0,2587.0
207,Phoenix,1,28832,39056,29696,39856,1802.0,2441.0,1856.0,2491.0
208,Flagstaff,1,29328,37488,31568,39728,1833.0,2343.0,1973.0,2483.0
209,Chinle,1,29018,36312,31536,37712,1813.625,2269.5,1971.0,2357.0
210,Kingman,1,27089,36323,29661,38113,1693.0625,2270.1875,1853.8125,2382.0625
211,Safford,1,29216,39264,31536,40784,1826.0,2454.0,1971.0,2549.0
212,Prescott,1,26980,37563,29648,39620,1686.25,2347.6875,1853.0,2476.25
213,Yuma,1,27022,39040,29424,41088,1688.875,2440.0,1839.0,2568.0
214,Billings,1,31936,26400,32848,26992,1996.0,1650.0,2053.0,1687.0
215,Great Falls,1,28288,23200,30736,25760,1768.0,1450.0,1921.0,1610.0
216,Broadus,1,32448,26176,35536,27792,2028.0,1636.0,2221.0,1737.0
217,Miles City,1,31616,24816,35536,26496,1976.0,1551.0,2221.0,1656.0
218,Plentywood,1,32144,23184,35536,25264,2009.0,1449.0,2221.0,1579.0
219,Havre,1,29792,23184,33072,25904,1862.0,1449.0,2067.0,1619.0
220,Missoula,1,25904,23184,28560,25968,1619.0,1449.0,1785.0,1623.0
221,Bozeman,1,29264,25632,32704,27808,1829.0,1602.0,2044.0,1738.0
222,Helena,1,27088,24656,30032,28464,1693.0,1541.0,1877.0,1779.0
223,Taunton,1,92218,28816,94720,30612,5763.625,1801.0,5920.0,1913.25
224,Bristol,1,94839,27920,95680,28688,5927.4375,1745.0,5980.0,1793.0
225,Plymouth,1,93113,29632,93952,30198,5819.5625,1852.0,5872.0,1887.375
226,Portsmouth,2,95472,28160,97216,29815,5967.0,1760.0,6076.0,1863.4375
227,Ashford,1,97005,28608,98784,29681,6062.8125,1788.0,6174.0,1855.0625
228,Ipswich,1,97136,26336,99032,28565,6071.0,1646.0,6189.5,1785.3125
229,Cambridge,1,96272,26528,97872,28352,6017.0,1658.0,6117.0,1772.0
230,Birmingham,1,94752,26128,96736,28192,5922.0,1633.0,6046.0,1762.0
231,Cardiff,1,92583,26927,95170,28759,5786.4375,1682.9375,5948.125,1797.4375
232,Liverpool,1,94269,24775,95440,26624,5891.8125,1548.4375,5965.0,1664.0
233,Shrewsbury,2,93049,25650,94864,27360,5815.5625,1603.125,5929.0,1710.0
234,Sheffield,1,95104,25426,97764,26672,5944.0,1589.125,6110.25,1667.0
235,Leeds,1,94855,24480,96880,25760,5928.4375,1530.0,6055.0,1610.0
236,Carlisle,1,94175,21900,96159,24861,5885.9375,1368.75,6009.9375,1553.8125
237,York,1,95168,23121,97605,25632,5948.0,1445.0625,6100.3125,1602.0
238,Glasgow,1,92793,21822,95464,24048,5799.5625,1363.875,5966.5,1503.0
239,Aberdeen,1,93552,19264,95992,22064,5847.0,1204.0,5999.5,1379.0
240,St. John's,1,71453,21169,76957,25831,4465.8125,1323.0625,4809.8125,1614.4375
241,Inverness,6,90828,19254,94864,22879,5676.75,1203.375,5929.0,1429.9375
242,Thurso,4,91148,16638,95586,20464,5696.75,1039.875,5974.125,1279.0
243,Venice,1,106640,35824,107380,36476,6665.0,2239.0,6711.25,2279.75
244,Turin,1,102224,35376,103904,37488,6389.0,2211.0,6494.0,2343.0
245,Rome,1,106742,40304,107440,41059,6671.375,2519.0,6715.0,2566.1875
246,Naples,1,108599,41600,109264,42160,6787.4375,2600.0,6829.0,2635.0
247,Verona,1,104641,34960,107440,37072,6540.0625,2185.0,6715.0,2317.0
248,Genoa,1,103680,37232,104512,38068,6480.0,2327.0,6532.0,2379.25
249,Bologna,1,105472,36128,107402,37952,6592.0,2258.0,6712.625,2372.0
250,Milan,1,103600,35479,105184,37440,6475.0,2217.4375,6574.0,2340.0
251,Cuneo,1,102288,37072,103832,38722,6393.0,2317.0,6489.5,2420.125
252,Parma,1,104295,36576,105680,38080,6518.4375,2286.0,6605.0,2380.0
253,Florence,1,104423,37552,107088,39472,6526.4375,2347.0,6693.0,2467.0
254,San Marino,1,106624,37565,107444,38352,6664.0,2347.8125,6715.25,2397.0
255,Cagliari,1,103397,40718,104759,43039,6462.3125,2544.875,6547.4375,2689.9375
256,Palermo,1,107277,44902,110165,46827,6704.8125,2806.375,6885.3125,2926.6875
257,Civitavecchia,1,105479,38816,107408,40714,6592.4375,2426.0,6713.0,2544.625
258,Perugia,1,106704,38157,108708,39952,6669.0,2384.8125,6794.25,2497.0
259,Pescara,1,107616,39523,109357,40512,6726.0,2470.1875,6834.8125,2532.0
260,Latina,1,107033,39952,108176,41463,6689.5625,2497.0,6761.0,2591.4375
261,Cassino,1,107579,40368,109072,42092,6723.6875,2523.0,6817.0,2630.75
262,Bari,1,110672,41326,112865,43176,6917.0,2582.875,7054.0625,2698.5
263,Foggia,1,108672,40302,110825,41616,6792.0,2518.875,6926.5625,2601.0
264,Salerno,1,108800,40944,110144,42583,6800.0,2559.0,6884.0,2661.4375
265,Potenza,1,109490,41504,111394,43444,6843.125,2594.0,6962.125,2715.25
266,Catanzaro,1,110146,43043,111668,45348,6884.125,2690.1875,6979.25,2834.25
267,Paris,1,98992,31440,99600,32016,6187.0,1965.0,6225.0,2001.0
268,Bordeaux,1,95632,35008,96688,36224,5977.0,2188.0,6043.0,2264.0
269,Marseille,1,100630,38288,101574,39011,6289.375,2393.0,6348.375,2438.1875
270,Lyon,1,100403,35280,101272,36016,6275.1875,2205.0,6329.5,2251.0
271,Brest,2,93229,30943,96528,33035,5826.8125,1933.9375,6033.0,2064.6875
272,Le Havre,1,97303,29860,99536,31728,6081.4375,1866.25,6221.0,1983.0
273,Ajaccio,1,103786,38992,104611,40657,6486.625,2437.0,6538.1875,2541.0625
274,Lille,1,98744,29034,101248,31136,6171.5,1814.625,6328.0,1946.0
275,Nantes,1,95216,32582,96411,33335,5951.0,2036.375,6025.6875,2083.4375
276,La Rochelle,2,95196,32987,97808,35984,5949.75,2061.6875,6113.0,2249.0
277,Toulouse,1,97568,37184,100048,39472,6098.0,2324.0,6253.0,2467.0
278,Bayonne,1,94981,35893,96880,38320,5936.3125,2243.3125,6055.0,2395.0
279,Tarbes,1,96064,35888,98400,38944,6004.0,2243.0,6150.0,2434.0
280,Orléans,1,97776,31664,99936,32967,6111.0,1979.0,6246.0,2060.4375
281,Bourges,1,98704,32873,100857,34785,6169.0,2054.5625,6303.5625,2174.0625
282,Mâcon,1,99678,33970,102179,35937,6229.875,2123.125,6386.1875,2246.0625
283,Dijon,1,100248,32704,102807,34755,6265.5,2044.0,6425.4375,2172.1875
284,Strasbourg,1,100928,31520,102893,33395,6308.0,1970.0,6430.8125,2087.1875
285,Nancy,1,100304,30480,102096,32048,6269.0,1905.0,6381.0,2003.0
286,Reims,1,99424,30880,100992,32240,6214.0,1930.0,6312.0,2015.0
287,Auxerre,1,99211,32096,101504,33304,6200.6875,2006.0,6344.0,2081.5
288,Le Mans,1,95780,30150,98070,33206,5986.25,1884.375,6129.375,2075.375
289,Poitiers,1,96977,32450,99203,35120,6061.0625,2028.125,6200.1875,2195.0
290,Limoges,1,97152,34640,99956,37184,6072.0,2165.0,6247.25,2324.0
291,Saint Étienne,1,99179,34752,102560,36864,6198.6875,2172.0,6410.0,2304.0
292,Avignon,1,98544,35777,101347,38883,6159.0,2236.0625,6334.1875,2430.1875
293,Grenoble,1,100707,36560,102630,39171,6294.1875,2285.0,6414.375,2448.1875
294,Madrid,1,92704,40672,93520,41312,5794.0,2542.0,5845.0,2582.0
295,Murcia,1,93248,42608,95753,45048,5828.0,2663.0,5984.5625,2815.5
296,Sevilla,1,89968,43616,90640,44256,5623.0,2726.0,5665.0,2766.0
297,Bilbao,1,93654,37204,94482,37936,5853.375,2325.25,5905.125,2371.0
298,Barcelona,1,97336,40336,98344,41004,6083.5,2521.0,6146.5,2562.75
299,Lugo,1,88735,35933,92288,38032,5545.9375,2245.8125,5768.0,2377.0
300,Vigo,1,88241,36286,91216,38960,5515.0625,2267.875,5701.0,2435.0
301,León,1,91840,36877,94176,39008,5740.0,2304.8125,5886.0,2438.0
302,Pamplona,1,93616,37325,96480,39792,5851.0,2332.8125,6030.0,2487.0
303,Zaragoza,1,94304,39456,97552,42573,5894.0,2466.0,6097.0,2660.8125
304,Lleida,1,95792,38560,99215,40776,5987.0,2410.0,6200.9375,2548.5
305,Valencia,1,94688,42454,95449,43209,5918.0,2653.375,5965.5625,2700.5625
306,Cuenca,1,93440,40048,95168,42848,5840.0,2503.0,5948.0,2678.0
307,Malaga,1,90320,43760,92352,45550,5645.0,2735.0,5772.0,2846.875
308,Cádiz,1,89204,43824,90560,45801,5575.25,2739.0,5660.0,2862.5625
309,Cáceres,1,89152,40832,91104,42864,5572.0,2552.0,5694.0,2679.0
310,Budapest,1,112320,33596,112832,34160,7020.0,2099.75,7052.0,2135.0
311,Córdoba,1,90224,42224,92240,44176,5639.0,2639.0,5765.0,2761.0
312,Huelva,1,88445,42496,90384,44223,5527.8125,2656.0,5649.0,2763.9375
313,Granada,1,91632,43792,93719,45673,5727.0,2737.0,5857.4375,2854.5625
314,Toledo,1,92256,41136,93936,42896,5766.0,2571.0,5871.0,2681.0
315,Jaén,1,91776,42096,93520,44064,5736.0,2631.0,5845.0,2754.0
316,Salamanca,1,89984,39232,92224,41392,5624.0,2452.0,5764.0,2587.0
317,Ávila,1,90800,40208,92800,42480,5675.0,2513.0,5800.0,2655.0
318,Valladolid,1,92112,38768,94608,40768,5757.0,2423.0,5913.0,2548.0
319,Zamora,1,90640,37824,92672,40016,5665.0,2364.0,5792.0,2501.0
320,Guymon,1,36448,36240,39120,36864,2278.0,2265.0,2445.0,2304.0
321,Woodward,1,38864,36288,40064,37936,2429.0,2268.0,2504.0,2371.0
322,Oklahoma City,1,40528,37472,41248,38096,2533.0,2342.0,2578.0,2381.0
323,Lawton,1,38864,37728,40608,39216,2429.0,2358.0,2538.0,2451.0
324,Tulsa,1,41552,36288,43200,37712,2597.0,2268.0,2700.0,2357.0
325,McAlester,1,41536,37536,43264,38960,2596.0,2346.0,2704.0,2435.0
326,Norman,1,40256,37792,41808,39376,2516.0,2362.0,2613.0,2461.0
327,Durant,1,40768,38752,43312,39648,2548.0,2422.0,2707.0,2478.0
328,Enid,1,39744,36288,40976,38160,2484.0,2268.0,2561.0,2385.0
329,Ponca City,1,40608,36288,42016,37904,2538.0,2268.0,2626.0,2369.0
